“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"359",39,34,63,79,112,419,821,1204,1817,2543,3395,5525,9454
"360",40,34,29,48,122,390,747,1211,1729,2481,3860,5380,9808
"361",31,37,45,50,122,425,843,1353,1881,2576,3576,5571,9339
"362",28,44,61,54,138,484,717,1215,1756,2439,3585,5601,9316
"363",29,54,62,58,119,412,798,1206,1632,2458,3788,5718,9591
"364",31,64,58,58,119,395,730,1177,1752,2624,3872,5215,9531
"365",31,60,50,59,113,404,833,1254,1748,2575,3850,5589,9820
"366",31,45,63,62,100,435,724,1178,1813,2456,3977,5559,8933
"367",31,48,67,62,104,386,744,1197,1865,2826,3688,5338,8980
"368",36,74,69,61,131,458,794,1192,1847,2337,3692,5433,9042
"369",34,34,70,67,106,436,887,1095,1704,2449,3693,5766,9827
"370",39,35,72,79,96,377,782,1291,1761,2712,3753,5594,9707
"371",36,39,66,69,102,386,766,1195,1768,2448,3730,5772,9288
"372",37,46,81,81,101,401,796,1147,1806,2592,4014,5813,9388
"373",38,56,53,88,137,422,745,1118,1937,2436,3530,5532,9833
"374",57,51,43,68,118,413,736,1303,1918,2490,3666,5719,9022
"375",29,34,52,91,119,421,762,1175,1904,2433,3673,5630,9397
